V_node1,V_node2,V_node3,V_node4,V_node5,I_node1,I_node2,I_node3,I_node4,I_node5,Load_node1,Load_node2,Load_node3,Load_node4,Load_node5,Regulator_Setting,Target
232.48357076505616,229.3086784941441,233.23844269050346,237.61514928204014,228.82923312638331,9.152480635954593,9.093171783232291,6.4087136547399695,9.339819616597126,11.46565816364349,1.8215052695127782,2.194500536946347,1.9026189389548571,2.6104180469461196,3.6971785314619128,0.95,0
228.8293152152541,237.89606407753695,233.83717364576455,227.65262807032525,232.7128002179298,7.45153576184641,12.096965302101186,10.975549642168676,8.531533356057924,9.716940725324305,1.7289578428587955,3.500820497768414,1.7183279276531125,1.6523727875031158,3.318594618343213,1.0,1
227.68291153593768,227.6713512321487,231.20981135783018,220.43359877671102,221.37541083743483,13.196643615282067,11.467095627011732,10.017567309796295,9.524633366078032,10.15321814090332,3.421936378007617,3.3514099367626544,1.1842025917818588,2.0340490219279492,3.3229885920033215,1.05,1
227.18856235379513,224.93584439832787,231.57123666297636,225.45987962239394,222.93848149332354,8.976472884115394,5.790500988561971,14.084355821069462,10.310649998398803,10.796294530245074,2.5415418405638945,1.4263071538025358,2.9583179391254415,1.7851927410085295,4.2945248483922125,1.05,1
237.32824384460778,228.87111849756732,230.33764102343963,222.8762590689327,227.27808637737408,9.884184500246182,8.529766398550825,9.628151038102459,6.801210475611377,14.554172996106608,4.044841462418258,3.104097426355567,3.861006704769774,2.564791350123381,3.265437494375016,0.95,1
230.55461294854933,224.24503211288848,231.87849009172837,226.99680655040598,228.5415312510336,7.530976003155208,7.9360674323056415,9.1194815912272,12.576151449704755,10.029017998525308,3.977720295302075,2.7454986817943126,2.2448128284857165,0.7953780418228842,2.416866474278506,1.0,1
226.99146693885302,239.26139092254468,229.93251387631034,224.7114453552205,234.11272456051594,7.527728407939075,12.508676721514679,11.462001253570962,11.076869914432905,11.43146848234168,3.3234231845623112,3.4456334275676297,3.0043650657184098,1.9587009050377602,0.5231784310524095,0.95,0
223.8957817501449,231.04431797502377,220.2016493806011,223.35906975550785,230.98430617934562,14.788723801164902,14.370189790072224,8.626569313993409,13.247769985622305,10.766336379517801,2.004784901995265,2.1956551289460484,2.187071032809986,3.1185563569779244,4.48567641101484,0.95,1
233.69233289997706,230.85684140594987,229.4217585880588,228.49448152205355,222.60739004816287,10.998191632275498,6.615458336713343,9.659228469223608,8.37435281932687,11.656117629786618,2.623529201841093,2.2832682108435383,2.2407781869959074,2.6243847669077143,1.6717062396516011,1.05,1
226.40077895802645,227.69680614520107,235.28561113109458,231.7180914478423,221.18479922318633,12.14216100080561,5.851027297967377,9.955930271991459,12.243723009588503,9.62664207537311,2.620198558746055,2.9508123363317997,2.709686063574488,2.957541934004781,2.9337476093485355,1.0,1
231.620419846974,228.07458859791842,226.61538999847022,233.05838144420434,235.15499761247975,11.458127290004729,10.702330935254167,10.683320463905252,9.457370043863405,7.566838391728581,0.7281033177535563,3.136870158395403,1.8289851543375464,1.404160836996042,1.3955481721450038,0.95,0
