fecha,tension1,tension2
2021-01-01 00:15:00,119.549,118.911
2021-01-01 00:30:00,119.498,118.218
2021-01-01 00:45:00,118.792,118.595
2021-01-01 01:00:00,119.179,118.334
2021-01-01 01:15:00,119.298,118.063
2021-01-01 01:30:00,118.130,118.138
2021-01-01 01:45:00,118.604,118.448
2021-01-01 02:00:00,118.106,117.710
2021-01-01 02:15:00,117.683,117.828
2021-01-01 02:30:00,117.548,117.882
2021-01-01 02:45:00,117.637,118.519
2021-01-01 03:00:00,117.377,118.136
2021-01-01 03:15:00,117.070,118.137
2021-01-01 03:30:00,117.125,118.411
2021-01-01 03:45:00,117.389,117.530
2021-01-01 04:00:00,117.719,118.303
2021-01-01 04:15:00,118.434,118.132
2021-01-01 04:30:00,118.016,118.348
2021-01-01 04:45:00,118.668,118.166
2021-01-01 05:00:00,118.492,118.755
2021-01-01 05:15:00,119.030,118.548
2021-01-01 05:30:00,118.798,118.647
2021-01-01 05:45:00,119.216,118.677
2021-01-01 06:00:00,118.990,118.287
2021-01-01 06:15:00,119.847,118.294
2021-01-01 06:30:00,119.777,118.556
2021-01-01 06:45:00,119.490,118.738
2021-01-01 07:00:00,118.912,118.490
2021-01-01 07:15:00,119.184,118.649
2021-01-01 07:30:00,119.013,118.883
2021-01-01 07:45:00,118.719,118.788
2021-01-01 08:00:00,118.612,117.988
2021-01-01 08:15:00,118.396,118.368
2021-01-01 08:30:00,118.072,117.757
2021-01-01 08:45:00,117.796,118.356
2021-01-01 09:00:00,117.727,118.077
2021-01-01 09:15:00,117.155,118.222
2021-01-01 09:30:00,117.991,118.191
2021-01-01 09:45:00,117.088,118.132
2021-01-01 10:00:00,117.741,118.475
2021-01-01 10:15:00,117.655,118.155
2021-01-01 10:30:00,118.459,117.868
2021-01-01 10:45:00,118.073,118.117
2021-01-01 11:00:00,118.239,118.243
2021-01-01 11:15:00,118.840,118.087
2021-01-01 11:30:00,119.165,118.152
2021-01-01 11:45:00,119.640,118.785
2021-01-01 12:00:00,119.597,119.018
2021-01-01 12:15:00,119.901,118.996
2021-01-01 12:30:00,119.672,118.567
2021-01-01 12:45:00,119.637,118.956
2021-01-01 13:00:00,119.206,118.847
2021-01-01 13:15:00,119.313,118.879
2021-01-01 13:30:00,119.269,118.112
2021-01-01 13:45:00,118.969,118.155
2021-01-01 14:00:00,118.291,118.367
2021-01-01 14:15:00,118.561,117.859
2021-01-01 14:30:00,117.736,118.468
2021-01-01 14:45:00,117.595,118.298
2021-01-01 15:00:00,117.796,118.166
2021-01-01 15:15:00,118.047,118.302
2021-01-01 15:30:00,117.269,117.961
2021-01-01 15:45:00,117.978,117.865
2021-01-01 16:00:00,117.308,118.252
2021-01-01 16:15:00,117.382,117.580
2021-01-01 16:30:00,117.864,117.675
2021-01-01 16:45:00,117.739,117.773
2021-01-01 17:00:00,118.254,117.813
2021-01-01 17:15:00,118.663,118.204
2021-01-01 17:30:00,118.801,118.221
2021-01-01 17:45:00,119.351,118.187
2021-01-01 18:00:00,118.937,118.845
2021-01-01 18:15:00,119.308,118.094
2021-01-01 18:30:00,119.451,118.095
2021-01-01 18:45:00,119.508,118.135
2021-01-01 19:00:00,119.359,118.442
2021-01-01 19:15:00,119.824,118.923
2021-01-01 19:30:00,119.604,118.888
2021-01-01 19:45:00,118.796,118.425
2021-01-01 20:00:00,118.597,118.800
2021-01-01 20:15:00,118.759,118.766
2021-01-01 20:30:00,118.283,117.828
2021-01-01 20:45:00,118.496,118.540
2021-01-01 21:00:00,117.988,118.463
2021-01-01 21:15:00,117.606,118.264
2021-01-01 21:30:00,117.803,117.770
2021-01-01 21:45:00,117.916,117.712
2021-01-01 22:00:00,117.925,117.661
2021-01-01 22:15:00,117.200,118.181
2021-01-01 22:30:00,117.340,118.171
2021-01-01 22:45:00,117.712,118.530
2021-01-01 23:00:00,118.410,118.742
2021-01-01 23:15:00,117.823,118.535
2021-01-01 23:30:00,118.830,117.954
2021-01-01 23:45:00,118.258,118.306
2021-01-02 00:00:00,118.963,118.040
2021-01-02 00:15:00,118.825,118.062
2021-01-02 00:30:00,119.400,118.785
2021-01-02 00:45:00,119.263,118.536
2021-01-02 01:00:00,119.497,118.253
2021-01-02 01:15:00,119.382,118.005
2021-01-02 01:30:00,119.030,118.269
2021-01-02 01:45:00,119.455,118.069
2021-01-02 02:00:00,119.118,118.208
2021-01-02 02:15:00,118.459,118.674
2021-01-02 02:30:00,118.357,117.961
2021-01-02 02:45:00,118.877,118.623
2021-01-02 03:00:00,118.531,118.542
2021-01-02 03:15:00,117.762,118.141
2021-01-02 03:30:00,117.462,117.780
2021-01-02 03:45:00,117.207,118.422
2021-01-02 04:00:00,117.545,117.836
2021-01-02 04:15:00,117.586,118.000
2021-01-02 04:30:00,117.463,118.186
2021-01-02 04:45:00,117.276,118.059
2021-01-02 05:00:00,117.888,118.158
2021-01-02 05:15:00,117.762,118.604
2021-01-02 05:30:00,118.474,118.479
2021-01-02 05:45:00,117.992,118.194
2021-01-02 06:00:00,118.589,118.192
2021-01-02 06:15:00,119.290,118.246
2021-01-02 06:30:00,119.056,118.746
2021-01-02 06:45:00,119.041,118.760
2021-01-02 07:00:00,119.842,119.064
2021-01-02 07:15:00,119.114,118.488
2021-01-02 07:30:00,119.593,118.902
2021-01-02 07:45:00,119.205,118.794
2021-01-02 08:00:00,119.102,118.086
2021-01-02 08:15:00,118.977,117.993
2021-01-02 08:30:00,119.216,118.911
2021-01-02 08:45:00,118.235,118.098
2021-01-02 09:00:00,118.437,118.708
2021-01-02 09:15:00,118.310,117.840
2021-01-02 09:30:00,118.085,118.037
2021-01-02 09:45:00,117.351,118.479
2021-01-02 10:00:00,117.451,117.878
2021-01-02 10:15:00,117.068,118.443
2021-01-02 10:30:00,117.439,118.143
2021-01-02 10:45:00,117.912,118.253
2021-01-02 11:00:00,117.336,118.273
2021-01-02 11:15:00,117.353,117.833
2021-01-02 11:30:00,117.553,118.471
2021-01-02 11:45:00,117.845,117.768
2021-01-02 12:00:00,118.865,118.523
2021-01-02 12:15:00,118.717,117.950
2021-01-02 12:30:00,119.101,117.940
2021-01-02 12:45:00,119.408,118.675
2021-01-02 13:00:00,119.075,118.159
2021-01-02 13:15:00,119.445,118.566
2021-01-02 13:30:00,119.899,118.285
2021-01-02 13:45:00,119.209,118.712
2021-01-02 14:00:00,119.231,118.253
2021-01-02 14:15:00,118.882,117.967
2021-01-02 14:30:00,119.565,118.410
2021-01-02 14:45:00,119.162,118.189
2021-01-02 15:00:00,118.468,118.009
2021-01-02 15:15:00,118.983,118.537
2021-01-02 15:30:00,118.134,118.547
2021-01-02 15:45:00,118.198,118.164
